month,price_index_to_ref,ref_month
2020-07-01,0.8075100401606425,2026-01-01
2020-08-01,0.820933734939759,2026-01-01
2020-09-01,0.8249216867469878,2026-01-01
2020-10-01,0.8238373493975905,2026-01-01
2020-11-01,0.8244397590361445,2026-01-01
2020-12-01,0.8220863453815261,2026-01-01
2021-01-01,0.8174678714859439,2026-01-01
2021-02-01,0.8241244979919679,2026-01-01
2021-03-01,0.8357991967871486,2026-01-01
2021-04-01,0.8577058232931726,2026-01-01
2021-05-01,0.8708584337349398,2026-01-01
2021-06-01,0.8957018072289157,2026-01-01
2021-07-01,0.9091078313253013,2026-01-01
2021-08-01,0.9219592369477912,2026-01-01
2021-09-01,0.9295897590361446,2026-01-01
2021-10-01,0.9345907630522089,2026-01-01
2021-11-01,0.9457353413654618,2026-01-01
2021-12-01,0.9531650602409639,2026-01-01
2022-01-01,0.9754829317269076,2026-01-01
2022-02-01,0.9887359437751004,2026-01-01
2022-03-01,1.0132339357429718,2026-01-01
2022-04-01,1.0313062248995983,2026-01-01
2022-05-01,1.051988955823293,2026-01-01
2022-06-01,1.0646395582329318,2026-01-01
2022-07-01,1.0759036144578313,2026-01-01
2022-08-01,1.079879518072289,2026-01-01
2022-09-01,1.0571887550200805,2026-01-01
2022-10-01,1.0411244979919678,2026-01-01
2022-11-01,1.0212449799196788,2026-01-01
2022-12-01,1.0245883534136546,2026-01-01
2023-01-01,1.022178714859438,2026-01-01
2023-02-01,1.0161947791164658,2026-01-01
2023-03-01,1.0328614457831324,2026-01-01
2023-04-01,1.048925702811245,2026-01-01
2023-05-01,1.0555522088353413,2026-01-01
2023-06-01,1.0507831325301205,2026-01-01
2023-07-01,1.0467269076305221,2026-01-01
2023-08-01,1.0527510040160641,2026-01-01
2023-09-01,1.0524751004016064,2026-01-01
2023-10-01,1.03440281124498,2026-01-01
2023-11-01,1.0378867469879518,2026-01-01
2023-12-01,1.0332883534136545,2026-01-01
2024-01-01,1.0393526104417672,2026-01-01
2024-02-01,1.036481124497992,2026-01-01
2024-03-01,1.0387248995983935,2026-01-01
2024-04-01,1.0563955823293174,2026-01-01
2024-05-01,1.0727610441767068,2026-01-01
2024-06-01,1.0907931726907631,2026-01-01
2024-07-01,1.0900100401606425,2026-01-01
2024-08-01,1.0980020080321284,2026-01-01
2024-09-01,1.0940220883534135,2026-01-01
2024-10-01,1.090206827309237,2026-01-01
2024-11-01,1.0743734939759035,2026-01-01
2024-12-01,1.0663815261044176,2026-01-01
2025-01-01,1.06314859437751,2026-01-01
2025-02-01,1.0700722891566266,2026-01-01
2025-03-01,1.0773345381526103,2026-01-01
2025-04-01,1.085567469879518,2026-01-01
2025-05-01,1.1020088353413655,2026-01-01
2025-06-01,1.1066072289156625,2026-01-01
2025-07-01,1.1066052208835342,2026-01-01
2025-08-01,1.100565060240964,2026-01-01
2025-09-01,1.09804578313253,2026-01-01
2025-10-01,1.0898128514056225,2026-01-01
2025-11-01,1.0653393574297187,2026-01-01
2025-12-01,1.056021686746988,2026-01-01
2026-01-01,1.051957831325301,2026-01-01
