matrix_id,matrix_yr,axis_1_value,axis_2_value,new_cell_value,matrix_name,cell_key,current_value,delta
3249,2026,VGd,2800,71.31394841268556,RES - BSMT,VGd | 2800,36.43,34.88394841268556
3249,2026,VGd,3200,1.957561032464605,RES - BSMT,VGd | 3200,1.0,0.9575610324646051
3249,2026,VGd,400,81.27793406793042,RES - BSMT,VGd | 400,41.52,39.757934067930414
3249,2026,VGd,600,1.957561032464605,RES - BSMT,VGd | 600,1.0,0.9575610324646051
3249,2026,VGd,800,75.8750656183281,RES - BSMT,VGd | 800,38.76,37.115065618328096
3253,2026,Avg,1000,49.92628627455776,RES - U-BSMT,Avg | 1000,20.2,29.72628627455776
3253,2026,Avg,1200,47.87485966030614,RES - U-BSMT,Avg | 1200,19.37,28.504859660306142
3253,2026,Avg,1400,46.36718467874771,RES - U-BSMT,Avg | 1400,18.76,27.60718467874771
3253,2026,Avg,1600,45.18081748014436,RES - U-BSMT,Avg | 1600,18.28,26.90081748014436
3253,2026,Avg,1800,44.24161011458336,RES - U-BSMT,Avg | 1800,17.9,26.34161011458336
3253,2026,Avg,2200,43.15410684919696,RES - U-BSMT,Avg | 2200,17.46,25.694106849196956
3253,2026,Avg,3200,2.224438497381287,RES - U-BSMT,Avg | 3200,16.14,-13.915561502618713
3253,2026,Avg,600,2.224438497381287,RES - U-BSMT,Avg | 600,22.43,-20.205561502618714
3253,2026,Avg,800,51.29555174961246,RES - U-BSMT,Avg | 800,21.04,30.255551749612458
3253,2026,Chp,1000,43.47416774223451,RES - U-BSMT,Chp | 1000,11.5,31.974167742234513
3253,2026,Chp,1200,41.54618291192672,RES - U-BSMT,Chp | 1200,10.99,30.55618291192672
3253,2026,Chp,1402,40.07184157110311,RES - U-BSMT,Chp | 1402,10.6,29.471841571103106
3253,2026,Chp,1600,39.05114371976369,RES - U-BSMT,Chp | 1600,10.33,28.72114371976369
3253,2026,Chp,1792,38.29507123729005,RES - U-BSMT,Chp | 1792,10.13,28.16507123729005
3253,2026,Chp,2210,36.78292627234277,RES - U-BSMT,Chp | 2210,9.73,27.05292627234277
3253,2026,Chp,400,51.4091484457954,RES - U-BSMT,Chp | 400,15.11,36.2991484457954
3253,2026,Chp,600,3.402326171131397,RES - U-BSMT,Chp | 600,13.25,-9.847673828868603
3253,2026,Chp,800,45.72726374000597,RES - U-BSMT,Chp | 800,12.23,33.49726374000596
3253,2026,Fair,1000,69.86051326068872,RES - U-BSMT,Fair | 1000,17.5,52.36051326068872
3253,2026,Fair,1200,66.82657097051023,RES - U-BSMT,Fair | 1200,16.74,50.08657097051024
3253,2026,Fair,1402,64.47127366629273,RES - U-BSMT,Fair | 1402,16.15,48.32127366629273
3253,2026,Fair,1600,62.91438222791167,RES - U-BSMT,Fair | 1600,15.76,47.154382227911675
3253,2026,Fair,1792,61.67685313586518,RES - U-BSMT,Fair | 1792,15.45,46.226853135865184
3253,2026,Fair,2210,59.32155583164768,RES - U-BSMT,Fair | 2210,14.86,44.46155583164768
3253,2026,Fair,400,81.19787655556621,RES - U-BSMT,Fair | 400,22.86,58.33787655556621
3253,2026,Fair,600,3.592826396263991,RES - U-BSMT,Fair | 600,20.11,-16.51717360373601
3253,2026,Fair,800,72.21581056490623,RES - U-BSMT,Fair | 800,18.59,53.62581056490623
3253,2026,Good,1000,40.13021561796011,RES - U-BSMT,Good | 1000,26.92,13.21021561796011
3253,2026,Good,1200,38.430793411256,RES - U-BSMT,Good | 1200,25.78,12.650793411255997
3253,2026,Good,1400,37.19349478707669,RES - U-BSMT,Good | 1400,24.95,12.243494787076688
3253,2026,Good,1600,36.19471156032955,RES - U-BSMT,Good | 1600,24.28,11.91471156032955
3253,2026,Good,1800,35.40462930633554,RES - U-BSMT,Good | 1800,23.75,11.654629306335544
3253,2026,Good,2200,34.52510377830446,RES - U-BSMT,Good | 2200,23.16,11.365103778304462
3253,2026,Good,3200,1.341649110555873,RES - U-BSMT,Good | 3200,21.34,-19.998350889444126
3253,2026,Good,4000,31.29023870063086,RES - U-BSMT,Good | 4000,20.99,10.30023870063086
